timestamp,location_id,location_name,capacity,occupied_spots,free_spots,occupancy_rate,location_type,latitude,longitude,hour,day_of_week,day_name,week,month,is_rush_hour,is_weekend,is_night,temperature,precipitation,weather_condition
2026-02-26 18:58:21.430215,welle,Parkhaus Welle,450,441,9,0.98,parkhaus,46.9496,7.4376,18,3,Thursday,9,2,1,0,0,3.3,0.3,rainy
2026-02-26 19:58:21.430215,welle,Parkhaus Welle,450,287,163,0.639,parkhaus,46.9496,7.4376,19,3,Thursday,9,2,0,0,0,-0.2,0.1,sunny
2026-02-26 20:58:21.430215,welle,Parkhaus Welle,450,315,135,0.702,parkhaus,46.9496,7.4376,20,3,Thursday,9,2,0,0,0,1.4,0.9,cloudy
2026-02-26 21:58:21.430215,welle,Parkhaus Welle,450,347,103,0.772,parkhaus,46.9496,7.4376,21,3,Thursday,9,2,0,0,0,0.9,5.2,sunny
2026-02-26 22:58:21.430215,welle,Parkhaus Welle,450,149,301,0.331,parkhaus,46.9496,7.4376,22,3,Thursday,9,2,0,0,1,5.1,2.2,cloudy
2026-02-26 23:58:21.430215,welle,Parkhaus Welle,450,184,266,0.41100000000000003,parkhaus,46.9496,7.4376,23,3,Thursday,9,2,0,0,1,1.3,2.2,rainy
2026-02-27 00:58:21.430215,welle,Parkhaus Welle,450,214,236,0.476,parkhaus,46.9496,7.4376,0,4,Friday,9,2,0,0,1,4.0,2.0,cloudy
2026-02-27 01:58:21.430215,welle,Parkhaus Welle,450,220,230,0.491,parkhaus,46.9496,7.4376,1,4,Friday,9,2,0,0,1,8.5,0.2,rainy
2026-02-27 02:58:21.430215,welle,Parkhaus Welle,450,140,310,0.312,parkhaus,46.9496,7.4376,2,4,Friday,9,2,0,0,1,6.3,2.4,sunny
2026-02-27 03:58:21.430215,welle,Parkhaus Welle,450,177,273,0.393,parkhaus,46.9496,7.4376,3,4,Friday,9,2,0,0,1,1.2,0.5,sunny
2026-02-27 04:58:21.430215,welle,Parkhaus Welle,450,140,310,0.313,parkhaus,46.9496,7.4376,4,4,Friday,9,2,0,0,1,1.5,0.4,sunny
2026-02-27 05:58:21.430215,welle,Parkhaus Welle,450,140,310,0.313,parkhaus,46.9496,7.4376,5,4,Friday,9,2,0,0,1,3.9,2.4,cloudy
2026-02-27 06:58:21.430215,welle,Parkhaus Welle,450,166,284,0.369,parkhaus,46.9496,7.4376,6,4,Friday,9,2,0,0,1,-2.5,0.3,cloudy
2026-02-27 07:58:21.430215,welle,Parkhaus Welle,450,336,114,0.747,parkhaus,46.9496,7.4376,7,4,Friday,9,2,1,0,0,-0.1,1.6,sunny
2026-02-27 08:58:21.430215,welle,Parkhaus Welle,450,342,108,0.762,parkhaus,46.9496,7.4376,8,4,Friday,9,2,1,0,0,4.0,0.5,cloudy
2026-02-27 09:58:21.430215,welle,Parkhaus Welle,450,384,66,0.855,parkhaus,46.9496,7.4376,9,4,Friday,9,2,1,0,0,2.1,3.5,cloudy
2026-02-27 10:58:21.430215,welle,Parkhaus Welle,450,256,194,0.569,parkhaus,46.9496,7.4376,10,4,Friday,9,2,0,0,0,8.3,0.4,sunny
2026-02-27 11:58:21.430215,welle,Parkhaus Welle,450,303,147,0.675,parkhaus,46.9496,7.4376,11,4,Friday,9,2,0,0,0,0.6,1.6,snowy
2026-02-27 12:58:21.430215,welle,Parkhaus Welle,450,259,191,0.577,parkhaus,46.9496,7.4376,12,4,Friday,9,2,0,0,0,-0.6,0.4,cloudy
2026-02-27 13:58:21.430215,welle,Parkhaus Welle,450,277,173,0.617,parkhaus,46.9496,7.4376,13,4,Friday,9,2,0,0,0,-0.2,3.5,rainy
2026-02-27 14:58:21.430215,welle,Parkhaus Welle,450,381,69,0.847,parkhaus,46.9496,7.4376,14,4,Friday,9,2,0,0,0,2.5,7.9,rainy
2026-02-27 15:58:21.430215,welle,Parkhaus Welle,450,284,166,0.632,parkhaus,46.9496,7.4376,15,4,Friday,9,2,0,0,0,2.0,1.7,cloudy
2026-02-27 16:58:21.430215,welle,Parkhaus Welle,450,407,43,0.905,parkhaus,46.9496,7.4376,16,4,Friday,9,2,1,0,0,9.2,0.6,sunny
2026-02-27 17:58:21.430215,welle,Parkhaus Welle,450,353,97,0.786,parkhaus,46.9496,7.4376,17,4,Friday,9,2,1,0,0,1.3,0.8,sunny
