timestamp,location_id,location_name,capacity,occupied_spots,free_spots,occupancy_rate,location_type,hour,day_of_week,day_name,week,month,date,is_rush_hour,is_weekend,is_sunday,is_market_day,temperature,precipitation,weather_condition,high_occupancy,hard_to_find_parking,has_free_spots,occupancy_level
2026-01-01 00:00:00,unteres_maetteli,Unteres Mätteli,120,70,50,0.59,public,0,3,Thursday,1,1,2026-01-01,0,0,0,0,-0.9,0.7,sunny,0,0,1,medium
2026-01-01 01:00:00,unteres_maetteli,Unteres Mätteli,120,64,56,0.539,public,1,3,Thursday,1,1,2026-01-01,0,0,0,0,-5.6,3.7,sunny,0,0,1,medium
2026-01-01 02:00:00,unteres_maetteli,Unteres Mätteli,120,84,36,0.702,public,2,3,Thursday,1,1,2026-01-01,0,0,0,0,-3.4,1.0,rainy,1,0,1,high
2026-01-01 03:00:00,unteres_maetteli,Unteres Mätteli,120,80,40,0.672,public,3,3,Thursday,1,1,2026-01-01,0,0,0,0,-4.1,0.6,cloudy,0,0,1,medium
2026-01-01 04:00:00,unteres_maetteli,Unteres Mätteli,120,75,45,0.631,public,4,3,Thursday,1,1,2026-01-01,0,0,0,0,1.5,1.1,snowy,0,0,1,medium
2026-01-01 05:00:00,unteres_maetteli,Unteres Mätteli,120,63,57,0.531,public,5,3,Thursday,1,1,2026-01-01,0,0,0,0,-3.6,0.0,cloudy,0,0,1,medium
2026-01-01 06:00:00,unteres_maetteli,Unteres Mätteli,120,81,39,0.676,public,6,3,Thursday,1,1,2026-01-01,0,0,0,0,0.1,1.3,cloudy,0,0,1,medium
2026-01-01 07:00:00,unteres_maetteli,Unteres Mätteli,120,109,11,0.911,public,7,3,Thursday,1,1,2026-01-01,1,0,0,0,6.1,0.8,cloudy,1,1,1,high
2026-01-01 08:00:00,unteres_maetteli,Unteres Mätteli,120,109,11,0.912,public,8,3,Thursday,1,1,2026-01-01,1,0,0,0,3.1,0.3,rainy,1,1,1,high
2026-01-01 09:00:00,unteres_maetteli,Unteres Mätteli,120,117,3,0.98,public,9,3,Thursday,1,1,2026-01-01,1,0,0,0,-3.7,0.2,snowy,1,1,0,high
